artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
7nwUJBm0HE4ZxD3f5cy5ok|Aretha Franklin|69|classic soul, jazz blues, memphis soul, neo soul, soul, southern soul, vocal jazz|2023-07-13, 13:43:02
3IYUhFvPQItj6xySrBmZkd|Creedence Clearwater Revival|78|classic rock, country rock, rock, southern rock, swamp rock|2023-07-13, 13:43:03
5hW4L92KnC6dX9t7tYM4Ve|Joni Mitchell|52|canadian singer-songwriter, folk, folk rock, singer-songwriter|2023-07-13, 13:43:04
2iE18Oxc8YSumAU232n4rW|The Jackson 5|64|motown, soul|2023-07-13, 13:43:05
4x1nvY2FN8jxqAFA0DA02H|John Lennon|67|beatlesque, classic rock, rock|2023-07-13, 13:43:06
1eEfMU2AhEo7XnKgL7c304|Carpenters|64|adult standards, mellow gold, soft rock|2023-07-13, 13:43:06
7guDJrEfX3qb6FEbdPA5qi|Stevie Wonder|73|motown, soul|2023-07-13, 13:43:08
7f8LNBVXN0h35veHrpxQFL|Norman Greenbaum|56|classic rock|2023-07-13, 13:43:09
1NRzxuPpdGushT8YmF5NAa|Edison Lighthouse|56||2023-07-13, 13:43:10
44NX2ffIYHr6D4n7RaZF7A|Van Morrison|70|classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock|2023-07-13, 13:43:10
5M52tdBnJaKSvOpJGz8mfZ|Black Sabbath|71|album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal|2023-07-13, 13:43:11
0vn7UBvSQECKJm2817Yf1P|James Taylor|66|classic rock, folk, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock|2023-07-13, 13:43:12
22WZ7M8sxp5THdruNY3gXt|The Doors|71|acid rock, album rock, classic rock, hard rock, psychedelic rock, rock|2023-07-13, 13:43:13
2e53aHBQdCMKWqHDuyJsjC|Free|56|album rock, blues rock, british blues, classic rock, country rock, hard rock, progressive rock|2023-07-13, 13:43:14
2mbvqMGpwLsakeH45p1Jrb|Mungo Jerry|53|british blues, classic uk pop|2023-07-13, 13:43:15
7LCp4MN0SOIVWlssid9KyE|Mountain|52|album rock, blues rock, classic rock, country rock, electric blues, hard rock, proto-metal, psychedelic rock|2023-07-13, 13:43:15
